camis,dba,boro,building,street,zip,phone,cuisine_description,critical_flag,score,grade,is_closed,violation_count,inspection_year,inspection_month,inspection_day,total_inspections,violation_ratio
41314372,saxon  parole,manhattan,316,bowery,10012.0,2122540350,american,17,15.296296296296296,1.3928571428571428,0,28,2019,05,04,28,1.0
40723673,fat black pussy cat,manhattan,130,west    3 street,10012.0,2125334790,american,9,9.785714285714286,2.142857142857143,0,14,2019,05,03,14,1.0
40750264,times square cafe,manhattan,1535,broadway,10036.0,2123981900,american,27,18.571428571428573,0.9428571428571428,0,35,2019,05,03,35,1.0
40750338,mariott marquiscrossroads bar,manhattan,1535,broadway,10036.0,2123981900,american,5,8.625,3.0,0,8,2019,05,03,8,1.0
40861694,spiros restautrant,brooklyn,2103,avenue u,11229.0,7188919843,american,6,8.555555555555555,3.0,0,9,2019,05,03,9,1.0
40886613,dangelos pizzeria and restaurant,queens,6327,108 street,11375.0,7184596074,pizzaitalian,48,23.242857142857144,0.9142857142857143,0,70,2019,05,03,70,1.0
40895206,blimpie,manhattan,1928,3 avenue,10029.0,2129879756,sandwiches,17,14.714285714285714,1.2857142857142858,0,28,2019,05,03,28,1.0
40929097,pianos,manhattan,158,ludlow street,10002.0,2125053733,american,19,16.94871794871795,1.2307692307692308,0,39,2019,05,03,39,1.0
40929429,arbys,queens,17514,horace harding expressway,11365.0,7188880444,sandwichessaladsmixed buffet,9,12.0,2.210526315789474,0,19,2019,05,03,19,1.0
41040475,gramercy  ale house,manhattan,272,3 avenue,10010.0,6466783566,american,38,27.822580645161292,0.6857142857142857,0,64,2019,05,03,70,0.9142857142857143
41073776,olgas restaurant,bronx,1324,jerome avenue,10452.0,7185385181,latin cuban dominican puerto rican south  central american,4,7.2,2.5,0,12,2019,05,03,12,1.0
41106653,starbucks,queens,3711,35 avenue,11101.0,7187060464,cafãcoffeetea,0,3.25,3.0,0,8,2019,05,03,8,1.0
41125267,el pilon bakery,queens,4619,queens boulevard,11104.0,3479658539,latin cuban dominican puerto rican south  central american,17,13.46875,1.40625,0,32,2019,05,03,32,1.0
41125878,ohanlons bar,manhattan,349,east 14 street,10003.0,2125337333,irish,19,14.317073170731707,1.1162790697674418,0,43,2019,05,03,43,1.0
41143179,nagomi,manhattan,179,prince street,10012.0,2123878230,japanese,6,11.052631578947368,2.7142857142857144,0,21,2019,05,03,21,1.0
41169770,dunkin donutsbaskin robbins,brooklyn,2926,avenue i,11210.0,7182525349,donuts,2,17.0,2.0,0,12,2019,05,03,12,1.0
41172507,carve unique sandwiches,manhattan,760,8 avenue,10036.0,2127304949,sandwiches,7,9.833333333333334,2.769230769230769,0,13,2019,05,03,13,1.0
41271274,uncle louie gs italian ices  ice cream,brooklyn,1272,bay ridge parkway,11228.0,7187483494,ice cream gelato yogurt ices,9,16.272727272727273,1.8181818181818181,0,22,2019,05,03,22,1.0
41345406,dunkin donuts baskin robbins,queens,13850,jamaica avenue,11435.0,7182913107,donuts,1,4.0,3.0,0,7,2019,05,03,9,0.7777777777777778
41372877,zinc,manhattan,82,west    3 street,10012.0,2124779462,american,13,10.592592592592593,1.5555555555555556,0,27,2019,05,03,27,1.0
41374397,duffs brooklyn,brooklyn,168,marcy avenue,11211.0,7185992092,bottled beverages including water sodas juices etc,9,15.533333333333333,1.6875,0,16,2019,05,03,16,1.0
41399837,black swan,brooklyn,1048,bedford avenue,11205.0,7187834744,american,34,26.25974025974026,0.7469879518072289,0,82,2019,05,03,83,0.9879518072289156
41417928,allen restaurant,bronx,1201,randall avenue,10474.0,7188617564,latin cuban dominican puerto rican south  central american,26,14.394736842105264,1.0975609756097562,0,41,2019,05,03,41,1.0
41437135,sunnyside pizza,queens,4001,queens boulevard,11104.0,7184334040,pizza,17,12.826086956521738,1.826086956521739,0,23,2019,05,03,23,1.0
41439298,moon house chinese restaurant,manhattan,1810,3 avenue,10029.0,2124276540,chinesejapanese,22,16.77777777777778,1.6666666666666667,0,27,2019,05,03,27,1.0
